KOActivity_1,KOActivity_2,KOActivity_3,Number of checks to be executed according to the suggestion,Minimum Check Number (Ideal Processing),Check Overprocessing
40319,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
40321,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40323,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40325,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40326,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40330,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40347,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40350,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40356,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40357,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40358,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40362,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40365,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40367,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40370,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40378,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40385,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40394,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
40395,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40405,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40406,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40426,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
40429,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40432,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
40433,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
40437,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
40440,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
40441,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
40449,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
40453,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40455,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40478,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40484,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40485,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40495,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40498,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
40502,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40503,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40504,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40515,PostFundingCancellation,IdCancellation,CreditDecision,3,3,0
40516,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40519,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
40524,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40533,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40546,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40548,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
40556,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40559,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
40560,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40562,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40573,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
40581,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40586,PostFundingCancellation,IdCancellation,CreditDecision,1,1,0
40590,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40614,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40630,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40631,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40637,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
40642,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40643,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
40646,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
40650,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40664,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40675,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40676,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40677,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40681,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
40694,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40711,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40716,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40731,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40735,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40741,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
40744,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40753,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40759,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40763,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
40766,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
40770,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40777,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40779,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40780,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40781,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
40782,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
40793,PostFundingCancellation,CreditDecision,IdCancellation,1,1,0
40796,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40802,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40807,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40812,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40818,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40820,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40822,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
40831,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
40847,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40855,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
40857,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40864,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40865,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40868,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40875,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40878,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40881,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
40885,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40888,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
40902,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40903,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40906,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40923,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
40924,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40930,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
40934,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
40935,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40937,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
40939,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40947,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40954,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40956,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40964,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40968,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40969,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
40973,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40977,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40978,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
40981,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40983,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40992,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
40993,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41002,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41006,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41007,IdCancellation,CreditDecision,PostFundingCancellation,3,1,2
41018,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41023,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41029,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41043,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41047,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41049,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41051,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41057,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41060,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
41077,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
41082,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41085,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41091,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41097,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41098,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41114,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41118,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41138,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41144,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41145,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41148,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41151,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
41161,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41165,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41172,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
41174,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41175,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41181,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41182,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41192,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41194,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41204,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41208,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
41212,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41216,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41224,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41228,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41232,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41252,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
41260,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
41266,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41268,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41270,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41276,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41279,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41284,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
41285,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41288,PostFundingCancellation,CreditDecision,IdCancellation,1,1,0
41291,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
41301,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41302,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
41303,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41308,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41309,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41312,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41314,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41322,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
41324,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
41325,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
41327,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41330,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41331,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
41332,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41335,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41342,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41347,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
41377,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41385,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41386,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41388,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41413,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41415,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41422,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
41426,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41430,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41433,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
41442,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41443,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
41450,PostFundingCancellation,IdCancellation,CreditDecision,1,1,0
41453,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41454,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41460,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41461,PostFundingCancellation,CreditDecision,IdCancellation,1,1,0
41465,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41466,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41472,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41473,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41477,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41483,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
41490,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41492,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41495,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
41499,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41519,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41522,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41523,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41527,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41530,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41531,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
41535,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41536,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41539,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
41543,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41544,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41545,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41552,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41559,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41561,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41565,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41583,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
41584,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41585,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41589,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
41600,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41608,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41612,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41613,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
41614,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41615,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
41631,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41633,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
41636,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41638,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
41642,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41652,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41659,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41662,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41663,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41668,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41675,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
41690,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41697,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41703,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41710,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
41711,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
41720,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41727,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
41732,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41736,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41737,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41738,CreditDecision,PostFundingCancellation,IdCancellation,3,3,0
41740,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41741,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41745,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41756,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41767,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41775,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41776,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41798,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41807,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41818,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41821,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41825,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41827,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41840,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41843,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41845,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41846,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41847,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41858,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
41859,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
41875,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41880,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41891,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41912,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41920,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41924,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41925,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41926,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41932,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41934,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41943,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
41948,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41954,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41957,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41977,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41979,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
41981,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
41990,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
41994,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42005,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42008,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42011,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42017,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42023,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42027,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
42039,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42041,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42063,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42064,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42078,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42079,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42084,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
42085,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42097,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42098,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42101,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42105,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42111,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42112,PostFundingCancellation,CreditDecision,IdCancellation,1,1,0
42121,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42122,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42123,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42125,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42127,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42135,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
42138,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42139,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
42140,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
42143,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42148,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42152,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42153,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
42157,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42158,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
42170,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42182,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42184,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42189,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42190,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42198,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42199,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42202,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42206,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42210,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42212,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42219,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42224,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42239,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
42240,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
42244,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
42249,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
42251,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42258,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42263,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42271,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42286,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42295,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42296,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42297,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42298,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42301,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42303,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42308,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
42316,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42322,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42325,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42329,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42332,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42341,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42342,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42356,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42362,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42363,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
42373,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42382,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42386,IdCancellation,CreditDecision,PostFundingCancellation,3,3,0
42389,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42392,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42394,PostFundingCancellation,IdCancellation,CreditDecision,3,3,0
42401,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42405,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42408,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42410,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42416,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42424,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
42429,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42433,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42441,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42442,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42447,CreditDecision,IdCancellation,PostFundingCancellation,2,1,1
42449,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42453,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42454,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42458,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42462,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42463,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42476,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42480,PostFundingCancellation,CreditDecision,IdCancellation,3,3,0
42483,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42510,IdCancellation,PostFundingCancellation,CreditDecision,3,3,0
42516,PostFundingCancellation,CreditDecision,IdCancellation,1,1,0
42525,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42534,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42539,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42541,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42547,CreditDecision,IdCancellation,PostFundingCancellation,3,1,2
42549,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
42551,PostFundingCancellation,CreditDecision,IdCancellation,3,1,2
42557,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42558,CreditDecision,IdCancellation,PostFundingCancellation,3,3,0
42561,IdCancellation,PostFundingCancellation,CreditDecision,2,1,1
